Epoch:0  Iteration:0  Cross Validation Error:2.301877
Iteration:656  Error:0.284898
Iteration:657  Error:0.035402
Iteration:658  Error:0.040623
Iteration:659  Error:0.194090
Iteration:660  Error:0.205758
Iteration:661  Error:0.236167
Iteration:662  Error:0.140753
Iteration:663  Error:0.191092
Iteration:664  Error:0.331349
Iteration:665  Error:0.114340
Iteration:666  Error:0.143228
Iteration:667  Error:0.191802
Iteration:668  Error:0.196804
Iteration:669  Error:0.080851
Iteration:670  Error:0.113054
Iteration:671  Error:0.134145
Iteration:672  Error:0.145165
Iteration:673  Error:0.061868
Iteration:674  Error:0.052481
Iteration:675  Error:0.098016
Iteration:676  Error:0.212291
Iteration:677  Error:0.163385
Iteration:678  Error:0.181090
Iteration:679  Error:0.210623
Iteration:680  Error:0.268068
Iteration:681  Error:0.091303
Iteration:682  Error:0.166865
Iteration:683  Error:0.089310
Iteration:684  Error:0.172583
Iteration:685  Error:0.088851
Iteration:686  Error:0.183422
Iteration:687  Error:0.255922
Iteration:688  Error:0.258694
Iteration:689  Error:0.116344
Iteration:690  Error:0.167384
Iteration:691  Error:0.080180
Iteration:692  Error:0.208530
Iteration:693  Error:0.164236
Iteration:694  Error:0.114854
Iteration:695  Error:0.273883
Iteration:696  Error:0.088774
Iteration:697  Error:0.135772
Iteration:698  Error:0.144181
Iteration:699  Error:0.187407
Iteration:700  Error:0.368292
Iteration:701  Error:0.166886
Iteration:702  Error:0.252652
Iteration:703  Error:0.338779
Iteration:704  Error:0.163421
Iteration:705  Error:0.336639
Iteration:706  Error:0.148977
Iteration:707  Error:0.186853
Iteration:708  Error:0.122397
Iteration:709  Error:0.144864
Iteration:710  Error:0.065336
Iteration:711  Error:0.121125
Iteration:712  Error:0.215966
Iteration:713  Error:0.082360
Iteration:714  Error:0.072299
Iteration:715  Error:0.195548
Iteration:716  Error:0.158309
Iteration:717  Error:0.115951
Iteration:718  Error:0.040543
Iteration:719  Error:0.035532
Iteration:720  Error:0.092493
Iteration:721  Error:0.062750
Iteration:722  Error:0.089357
Iteration:723  Error:0.076392
Iteration:724  Error:0.180180
Iteration:725  Error:0.227155
Iteration:726  Error:0.333682
Iteration:727  Error:0.145347
Iteration:728  Error:0.171119
Iteration:729  Error:0.094203
Iteration:730  Error:0.095205
Iteration:731  Error:0.026568
Iteration:732  Error:0.038002
Iteration:733  Error:0.092501
Iteration:734  Error:0.107808
Iteration:735  Error:0.272528
Iteration:736  Error:0.194665
Iteration:737  Error:0.155958
Iteration:738  Error:0.290621
Iteration:739  Error:0.255279
Iteration:740  Error:0.069995
Iteration:741  Error:0.038313
Iteration:742  Error:0.103853
Iteration:743  Error:0.180398
Iteration:744  Error:0.111140
Iteration:745  Error:0.130041
Iteration:746  Error:0.182343
Iteration:747  Error:0.115472
Iteration:748  Error:0.127742
Iteration:749  Error:0.120323
Iteration:750  Error:0.056769
Iteration:751  Error:0.058001
Iteration:752  Error:0.378379
Iteration:753  Error:0.158940
Iteration:754  Error:0.054187
Iteration:755  Error:0.072001
Iteration:756  Error:0.041103
Iteration:757  Error:0.106106
Iteration:758  Error:0.080495
Iteration:759  Error:0.132421
Iteration:760  Error:0.098699
Iteration:761  Error:0.108221
Iteration:762  Error:0.268039
Iteration:763  Error:0.189624
